47.3929667,8.52001848
47.3929934,8.52010733
47.3930202,8.52019619
47.3930469,8.52028504
47.3930737,8.52037389
47.3931004,8.52046275
47.3931272,8.5205516
47.393154,8.52064045
47.3931807,8.5207293
47.3932075,8.52081816
47.3932342,8.52090701
47.393261,8.52099586
47.3932877,8.52108472
47.3933145,8.52117357
47.3933412,8.52126242
47.393368,8.52135127
47.3933721,8.52143325
47.3933763,8.52151522
47.3933804,8.52159719
47.3933845,8.52167916
47.3933887,8.52176113
47.3933928,8.5218431
47.3933969,8.52192508
47.3934011,8.52200705
47.3934052,8.52208902
47.3934094,8.52217099
47.3934135,8.52225296
47.3934197,8.52233845
47.3934259,8.52242395
47.3934321,8.52250944
47.3934383,8.52259493
47.3934445,8.52268042
47.3934507,8.52276592
47.3934569,8.52285141
47.393463,8.5229369
47.3934692,8.5230224
47.3934754,8.52310789
47.3934816,8.52319338
47.3934878,8.52327887
47.393494,8.52336437
47.3935002,8.52344986
47.3935064,8.52353535
47.3935126,8.52362084
47.3935188,8.52370634
47.393525,8.52379183
47.3935162,8.52387835
47.3935074,8.52396488
47.3934986,8.5240514
47.3934898,8.52413793
47.3934811,8.52422446
47.3934723,8.52431098
47.3934635,8.52439751
47.3934547,8.52448403
47.3934459,8.52457056
47.3934371,8.52465708
47.3934283,8.52474361
47.3934196,8.52483013
47.3934108,8.52491666
47.393402,8.52500318
47.3933932,8.52508971
47.3933844,8.52517623
47.3933756,8.52526276
47.3933668,8.52534929
47.393358,8.52543581
47.3933493,8.52552234
47.3933405,8.52560886
47.3933317,8.52569539
47.3933065,8.52578418
47.3932813,8.52587297
47.3932561,8.52596176
47.3932308,8.52605055
47.3932056,8.52613934
47.3931804,8.52622814
47.3931552,8.52631693
47.39313,8.52640572
47.3931048,8.52649451
47.3930796,8.5265833
47.3930544,8.52667209
47.3930292,8.52676088
47.393004,8.52684968
47.3929787,8.52693847
47.3929535,8.52702726
47.3929283,8.52711605
47.3929031,8.52720484
47.3928779,8.52729363
47.3928527,8.52738242
47.3928275,8.52747122
47.3928023,8.52756001
47.3927771,8.5276488
47.3927519,8.52773759
47.3927266,8.52782638
47.3927014,8.52791517
47.3926762,8.52800396
47.392651,8.52809276
47.3926258,8.52818155
47.3926006,8.52827034
47.3925754,8.52835913
47.3925502,8.52844792
